Retention Time	Intensity	Intensity	Intensity
0	0	0	0
0.00333333341404796	0	0	200
0.00666666682809591	0	0	200
0.00999999977648258	0	0	0
0.0133333336561918	0	0	0
0.0166666675359011	0	0	200
0.0199999995529652	0	0	200
0.0233333334326744	600	0	200
0.0266666673123837	0	0	0
0.0299999993294477	0	0	0
0.0333333350718021	0	0	400
0.0366666652262211	0	0	0
0.0399999991059303	0	0	0
0.0433333329856396	0	0	400
0.0466666668653488	0	0	400
0.0500000007450581	0	0	0
0.0533333346247673	0	0	0
0.0566666685044765	0	0	200
0.0599999986588955	0	0	0
0.0633333325386047	0	0	200
0.0666666701436043	0	0	0
0.0700000002980232	0	0	400
0.0733333304524422	0	0	200
0.0766666680574417	0	0	400
0.0799999982118607	0	0	0
0.0833333358168602	0	0	0
0.0866666659712791	0	0	400
0.0900000035762787	0	0	0
0.0933333337306976	0	0	0
0.0966666638851166	0	0	0
0.100000001490116	0	0	0
0.103333331644535	0	0	0
0.106666669249535	0	0	0
0.109999999403954	600	0	200
0.113333337008953	0	0	0
0.116666667163372	0	0	200
0.119999997317791	0	0	0
0.123333334922791	0	0	0
0.126666665077209	0	0	0
0.129999995231628	0	0	400
0.133333340287209	0	0	0
0.136666670441628	600	0	0
0.140000000596046	0	0	200
0.143333330750465	0	0	200
0.146666660904884	0	0	0
0.150000005960464	0	0	0
0.153333336114883	0	0	0
0.156666666269302	0	0	200
0.159999996423721	200	0	0
0.16333332657814	0	0	400
0.16666667163372	0	0	0
0.170000001788139	0	0	400
0.173333331942558	0	0	400
0.176666662096977	0	0	200
0.180000007152557	0	0	0
0.183333337306976	0	400	0
0.186666667461395	0	0	0
0.189999997615814	0	0	0
0.193333327770233	0	0	0
0.196666672825813	0	0	200
0.200000002980232	600	0	0
0.203333333134651	0	0	0
0.20666666328907	0	0	0
0.209999993443489	0	0	0
0.213333338499069	0	0	400
0.216666668653488	0	0	200
0.219999998807907	0	0	0
0.223333328962326	0	0	0
0.226666674017906	0	0	600
0.230000004172325	0	0	0
0.233333334326744	0	0	0
0.236666664481163	0	0	0
0.239999994635582	0	0	200
0.243333339691162	0	0	400
0.246666669845581	0	0	0
0.25	0	0	0
0.253333330154419	0	0	400
0.256666660308838	0	0	0
0.259999990463257	0	0	0
0.263350009918213	0	0	200
0.266683340072632	0	0	0
0.270016670227051	1000	0	400
0.27335000038147	0	0	200
0.276683330535889	0	0	0
0.280016660690308	0	0	0
0.283349990844727	0	0	200
0.286683320999146	0	0	0
0.290016680955887	0	0	200
0.293350011110306	0	0	0
0.296683341264725	0	0	400
0.300016671419144	0	0	200
0.303350001573563	0	0	0
0.306683331727982	0	0	0
0.310016661882401	0	0	0
0.313349992036819	0	0	0
0.316683322191238	0	0	200
0.320016652345657	0	0	0
0.323350012302399	0	0	0
0.326683342456818	400	0	200
0.330016672611237	0	0	0
0.333350002765656	0	400	0
0.336683332920074	0	1200	0
0.340016663074493	0	800	0
0.343349993228912	0	600	200
0.346683323383331	0	0	200
0.35001665353775	0	200	200
0.353350013494492	0	0	0
0.356683343648911	0	600	0
0.360016673803329	0	800	0
0.363350003957748	200	0	0
0.366683334112167	0	0	0
0.370016664266586	0	200	0
0.373349994421005	0	0	0
0.376683324575424	0	0	0
0.380016654729843	0	0	0
0.383350014686584	0	0	0
0.386683344841003	0	0	0
0.390016674995422	0	0	0
0.393350005149841	0	0	0
0.39668333530426	0	0	200
0.400016665458679	0	0	200
0.403349995613098	0	0	400
0.406683325767517	0	0	0
0.410016655921936	0	0	0
0.413349986076355	600	0	200
0.416683346033096	0	0	400
0.420016676187515	0	600	200
0.423350006341934	0	0	0
0.426683336496353	0	0	200
0.430016666650772	0	0	400
0.433349996805191	0	0	200
0.43668332695961	0	0	0
0.440016657114029	0	0	0
0.443349987268448	0	0	200
0.446683347225189	0	0	0
0.450016677379608	0	0	0
0.453350007534027	0	0	0
0.456683337688446	0	0	0
0.460016667842865	600	0	0
0.463349997997284	0	0	0
0.466683328151703	0	0	0
0.470016658306122	0	0	0
0.473349988460541	0	0	200
0.47668331861496	0	0	0
0.480016678571701	0	0	200
0.48335000872612	0	0	0
0.486683338880539	0	0	400
0.490016669034958	0	0	800
0.493349999189377	0	0	0
0.496683329343796	0	0	0
