Aoshu Mutant BilR 2.037uM 
""
WAVELENGTH	CD	HT VOLTAGE	ABSORBANCE
320.0	-0.006846142001450062	255.6152801513672	0.7213301062583923
319.0	0.08229802548885345	255.53762817382812	0.7203230261802673
318.0	0.092870332300663	255.4408416748047	0.7190676331520081
317.0	0.027895964682102203	255.36778259277344	0.7181200981140137
316.0	-0.023067181929945946	255.24786376953125	0.7165647745132446
315.0	-0.08080696314573288	255.1610870361328	0.7154392600059509
314.0	-0.12861473858356476	254.9906005859375	0.7132281064987183
313.0	-0.10044129192829132	254.7999725341797	0.7107555866241455
312.0	-0.0833783820271492	254.7113494873047	0.7096062898635864
311.0	0.07700158655643463	254.77133178710938	0.71038419008255
310.0	0.10475990921258926	254.92843627929688	0.7124218344688416
309.0	0.09065520763397217	254.92674255371094	0.7123997807502747
308.0	0.1329888552427292	254.93128967285156	0.7124587893486023
307.0	0.11592406779527664	254.9114532470703	0.7122015953063965
306.0	0.024214625358581543	254.91075134277344	0.7121925354003906
305.0	-0.04162327200174332	254.92774963378906	0.71241295337677
304.0	-0.09681493043899536	254.95008850097656	0.7127026915550232
303.0	-0.06339254230260849	254.9772186279297	0.7130544781684875
302.0	-0.09834376722574234	255.01858520507812	0.7135910391807556
301.0	-0.10259400308132172	255.0504913330078	0.7140049338340759
300.0	-0.02304326929152012	255.08180236816406	0.7144110202789307
299.0	0.02420204132795334	255.11338806152344	0.7148206830024719
298.0	-0.0025532201398164034	255.1650848388672	0.7154912352561951
297.0	-0.05878403037786484	255.2671356201172	0.7168148159980774
296.0	-0.09507523477077484	255.312255859375	0.7173999547958374
295.0	-0.06711851805448532	255.3760223388672	0.718226969242096
294.0	-0.06128240004181862	255.4528045654297	0.7192227840423584
293.0	-0.051580969244241714	255.4988250732422	0.7198198437690735
292.0	0.009964712895452976	255.34849548339844	0.7178699374198914
291.0	0.07057486474514008	255.16567993164062	0.7154988646507263
290.0	0.019066404551267624	255.41915893554688	0.7187864780426025
289.0	-0.05903012678027153	255.9042510986328	0.7250782251358032
288.0	-0.0863739624619484	256.1395568847656	0.728130042552948
287.0	-0.07120729237794876	256.3111572265625	0.7303555607795715
286.0	-0.06448562443256378	256.5283508300781	0.7331727147102356
285.0	-0.06942702829837799	256.800048828125	0.7366967797279358
284.0	-0.06857236474752426	257.0342712402344	0.7397344708442688
283.0	-0.09947459399700165	257.26385498046875	0.7427120804786682
282.0	-0.09061257541179657	257.5252990722656	0.7461031079292297
281.0	-0.07765667140483856	257.7964172363281	0.7496195435523987
280.0	-0.01897757686674595	258.1085510253906	0.7536680102348328
279.0	0.02011706493794918	258.46124267578125	0.7582421898841858
278.0	-0.020503876730799675	258.842041015625	0.7631812691688538
277.0	-0.04470251873135567	259.2256164550781	0.768156111240387
276.0	-0.08683841675519943	259.62200927734375	0.7732976078987122
275.0	-0.19470113515853882	260.0600891113281	0.7789793610572815
274.0	-0.14507725834846497	260.4626159667969	0.7842002511024475
273.0	-0.1249748095870018	260.8905944824219	0.7897511720657349
272.0	-0.05146244540810585	261.34295654296875	0.7956181168556213
271.0	-0.001475667697377503	261.90478515625	0.8029052019119263
270.0	-0.012134800665080547	262.56805419921875	0.8115076422691345
269.0	0.03215689957141876	263.3385009765625	0.8215004801750183
268.0	0.01638091169297695	264.1755065917969	0.832356333732605
267.0	-0.0005120064597576857	265.0256652832031	0.8433828949928284
266.0	0.0005070274346508086	265.9227294921875	0.8550179600715637
265.0	-0.05232865363359451	266.8774108886719	0.8674001693725586
264.0	-0.03821953758597374	267.8797607421875	0.8804003596305847
263.0	-0.06727029383182526	268.90081787109375	0.8936436176300049
262.0	-0.09904026240110397	269.9375	0.907089352607727
261.0	-0.09359148144721985	270.9718933105469	0.9205055832862854
260.0	-0.09203102439641953	272.0101013183594	0.9339709877967834
259.0	-0.09780537337064743	273.0806579589844	0.9478562474250793
258.0	-0.08683954179286957	274.1188049316406	0.9613208770751953
257.0	-0.0713929831981659	275.0904846191406	0.9739237427711487
256.0	-0.08689753711223602	276.0638427734375	0.9865478873252869
255.0	-0.11221194267272949	276.9651794433594	0.9982382655143738
254.0	-0.10409677773714066	277.7934265136719	1.0089807510375977
253.0	-0.05965813621878624	278.6236572265625	1.0187122821807861
252.0	-0.041784562170505524	279.56427001953125	1.029189109802246
251.0	-0.05895539000630379	280.42315673828125	1.0387372970581055
250.0	-0.027369774878025055	281.23614501953125	1.0477594137191772
249.0	-0.0858028307557106	282.0921936035156	1.057242512702942
248.0	-0.1149957925081253	282.94952392578125	1.0667223930358887
247.0	-0.1797720044851303	283.8507995605469	1.0766695737838745
246.0	-0.24745801091194153	284.79150390625	1.0870314836502075
245.0	-0.3345626890659332	285.8404846191406	1.0985612869262695
244.0	-0.4663882851600647	286.9278869628906	1.1104859113693237
243.0	-0.6086664795875549	288.1112365722656	1.1234310865402222
242.0	-0.7700290679931641	289.39068603515625	1.13739013671875
241.0	-1.014365315437317	290.7864990234375	1.1525747776031494
240.0	-1.2452164888381958	292.25640869140625	1.168515682220459
239.0	-1.6018049716949463	293.90350341796875	1.1863175630569458
238.0	-2.0096583366394043	295.60748291015625	1.2046667337417603
237.0	-2.4180190563201904	297.4389953613281	1.224312663078308
236.0	-2.91926646232605	299.3253479003906	1.2444641590118408
235.0	-3.413487672805786	301.3051452636719	1.2655235528945923
234.0	-3.894068717956543	303.3176574707031	1.28683602809906
233.0	-4.635141372680664	305.46453857421875	1.3094658851623535
232.0	-5.386490821838379	307.5937194824219	1.3318015336990356
231.0	-6.104083061218262	309.72467041015625	1.354048728942871
230.0	-6.93593168258667	311.8260803222656	1.3758822679519653
229.0	-7.6474480628967285	314.0450134277344	1.398823618888855
228.0	-8.320881843566895	316.3834533691406	1.4228748083114624
227.0	-8.884976387023926	318.6827087402344	1.446396827697754
226.0	-9.329192161560059	321.0220031738281	1.4702004194259644
225.0	-9.978178024291992	323.35687255859375	1.4938300848007202
224.0	-10.289767265319824	325.7524719238281	1.5179405212402344
223.0	-10.52686882019043	328.2496643066406	1.5429290533065796
222.0	-10.711477279663086	330.7998046875	1.5682955980300903
221.0	-10.72177791595459	333.42578125	1.5942555665969849
220.0	-10.702526092529297	336.1197509765625	1.6207185983657837
219.0	-10.716446876525879	338.9099426269531	1.6479462385177612
218.0	-10.512365341186523	341.73321533203125	1.6753093004226685
217.0	-10.352936744689941	344.5987548828125	1.7028894424438477
216.0	-10.218436241149902	347.63006591796875	1.73185396194458
215.0	-10.071659088134766	350.7701721191406	1.7616291046142578
214.0	-10.024726867675781	354.06060791015625	1.7925797700881958
213.0	-10.10922622680664	357.6183166503906	1.8257569074630737
212.0	-10.368144989013672	361.47991943359375	1.861429214477539
211.0	-10.673158645629883	365.7345275878906	1.9003243446350098
210.0	-10.920921325683594	370.2862854003906	1.9414622783660889
209.0	-10.844932556152344	375.2846984863281	1.986073613166809
208.0	-10.844131469726562	380.9156799316406	2.035623073577881
207.0	-10.4212064743042	387.072509765625	2.0889430046081543
206.0	-9.432456970214844	393.92437744140625	2.147228717803955
205.0	-8.218128204345703	401.50274658203125	2.2104032039642334
204.0	-6.770448684692383	409.9982604980469	2.2796099185943604
203.0	-5.005166530609131	419.5176086425781	2.3551313877105713
202.0	-3.042634963989258	430.3428039550781	2.438411235809326
201.0	-0.3410780727863312	442.9322204589844	2.5298984050750732
