Retention Time	Intensity	Intensity	Intensity
0	0	0	0
0.00333333341404796	400	400	0
0.00666666682809591	0	0	0
0.00999999977648258	400	0	0
0.0133333336561918	800	0	0
0.0166666675359011	400	0	0
0.0199999995529652	0	0	0
0.0233333334326744	200	0	600
0.0266666673123837	200	0	200
0.0299999993294477	0	0	0
0.0333333350718021	0	200	0
0.0366666652262211	200	0	0
0.0399999991059303	200	0	0
0.0433333329856396	400	0	0
0.0466833338141441	0	0	0
0.0500166676938534	400	0	0
0.0533500015735626	200	0	0
0.0566833317279816	400	0	0
0.0600166656076908	200	0	600
0.0633499994874001	0	0	0
0.066683329641819	400	0	0
0.0700166672468185	200	400	0
0.0733499974012375	0	0	200
0.076683335006237	0	0	0
0.080016665160656	0	0	0
0.0833500027656555	400	0	0
0.0866833329200745	400	0	0
0.0900166630744934	200	0	0
0.093350000679493	0	0	0
0.0966833308339119	400	0	0
0.100016668438911	400	200	0
0.10334999859333	0	0	0
0.10668333619833	0	0	0
0.110016666352749	800	0	0
0.113349996507168	0	0	0
0.116683334112167	0	0	0
0.120016664266586	200	200	400
0.123350001871586	0	0	0
0.126683339476585	0	0	0
0.130016669631004	0	0	0
0.133349999785423	0	0	600
0.136683329939842	600	0	0
0.140016660094261	0	0	0
0.143350005149841	0	0	0
0.14668333530426	400	0	600
0.150016665458679	0	0	0
0.153349995613098	600	0	0
0.156700000166893	0	0	0
0.160033330321312	200	0	0
0.163366660475731	400	0	800
0.166700005531311	0	0	0
0.17003333568573	0	0	400
0.173366665840149	400	400	0
0.176699995994568	0	0	0
0.180033326148987	400	0	0
0.183366671204567	0	0	0
0.186700001358986	0	0	0
0.190033331513405	200	0	0
0.193366661667824	400	0	0
0.196700006723404	0	0	0
0.200033336877823	200	0	0
0.203366667032242	0	400	0
0.206699997186661	200	0	0
0.21003332734108	800	0	200
0.21336667239666	0	0	0
0.216700002551079	0	0	0
0.220033332705498	0	0	0
0.223366662859917	200	0	0
0.226699993014336	200	0	0
0.230033338069916	600	0	0
0.233366668224335	400	0	0
0.236699998378754	400	0	1400
0.240033328533173	400	0	0
0.243366673588753	200	0	0
0.246700003743172	0	0	0
0.250033318996429	200	0	0
0.253366678953171	0	0	200
0.25670000910759	400	0	0
0.260033339262009	0	0	0
0.263366669416428	0	0	0
0.266699999570847	0	0	0
0.270033329725266	400	0	0
0.273366659879684	200	0	800
0.276699990034103	400	0	0
0.280033320188522	400	0	0
0.283366680145264	400	0	0
0.286700010299683	0	0	0
0.290033340454102	0	0	0
0.293366670608521	200	200	200
0.296700000762939	0	0	0
0.300033330917358	200	0	0
0.303366661071777	200	0	0
0.306699991226196	200	0	1000
0.310033321380615	0	0	400
0.313366681337357	400	0	200
0.316700011491776	0	0	400
0.320050001144409	0	0	0
0.323383331298828	0	0	0
0.326716661453247	200	0	0
0.330049991607666	400	0	1600
0.333383321762085	1200	0	1400
0.336716651916504	400	0	1400
0.340050011873245	0	0	1400
0.343383342027664	1000	0	1400
0.346716672182083	200	0	200
0.350050002336502	0	0	3400
0.353383332490921	1800	0	2000
0.35671666264534	0	200	0
