Retention Time	Intensity	Intensity	Intensity
0	0	0	0
0.00333333341404796	0	0	200
0.00666666682809591	0	1000	200
0.00999999977648258	0	0	400
0.0133333336561918	0	0	1000
0.0166666675359011	0	200	400
0.0199999995529652	0	0	400
0.0233333334326744	200	0	0
0.0266666673123837	0	600	0
0.0299999993294477	0	0	0
0.0333333350718021	0	0	0
0.0366666652262211	0	0	400
0.0399999991059303	0	0	400
0.0433333329856396	0	0	600
0.0466666668653488	0	0	0
0.0500000007450581	0	0	200
0.0533333346247673	0	0	200
0.0566666685044765	0	0	200
0.0599999986588955	0	2000	0
0.0633333325386047	200	0	200
0.0666666701436043	0	0	1200
0.0700000002980232	0	0	0
0.0733333304524422	0	0	0
0.0766666680574417	0	0	0
0.080016665160656	0	0	0
0.0833500027656555	200	400	0
0.0866833329200745	0	0	200
0.0900166630744934	0	0	0
0.093350000679493	0	0	0
0.0966833308339119	0	0	400
0.100016668438911	0	0	0
0.10334999859333	0	0	400
0.10668333619833	0	800	0
0.110016666352749	600	0	200
0.113349996507168	0	200	400
0.116683334112167	0	0	1000
0.120016664266586	0	0	0
0.123350001871586	0	0	0
0.126683339476585	0	0	200
0.130016669631004	0	0	1000
0.133349999785423	0	0	400
0.136683329939842	0	200	0
0.140016660094261	0	0	0
0.143350005149841	0	0	0
0.14668333530426	0	0	200
0.150016665458679	0	1000	200
0.153349995613098	0	0	400
0.156683340668678	0	0	0
0.160016670823097	0	200	0
0.163350000977516	0	0	0
0.166683331131935	0	1200	0
0.170016661286354	0	200	0
0.173350006341934	0	0	400
0.176683336496353	0	0	0
0.180016666650772	0	1600	0
0.183349996805191	0	0	1200
0.18668332695961	0	0	200
0.19001667201519	0	0	0
0.193350002169609	200	0	0
0.196683332324028	0	0	200
0.200016662478447	0	0	200
0.203349992632866	0	0	400
0.206683337688446	0	0	400
0.21003332734108	0	0	0
0.21336667239666	0	400	400
0.216700002551079	0	0	0
0.220033332705498	0	0	0
0.223366662859917	0	0	200
0.226699993014336	0	2000	0
0.230033338069916	0	0	0
0.233366668224335	0	0	0
0.236699998378754	0	0	0
0.240033328533173	0	0	200
0.243366673588753	0	0	0
0.246700003743172	0	200	0
0.250033318996429	0	0	200
0.253366678953171	0	0	0
0.25670000910759	0	0	0
0.260033339262009	800	0	200
0.263366669416428	0	0	0
0.266699999570847	0	0	200
0.270033329725266	0	0	0
0.273366659879684	0	0	0
0.276699990034103	0	0	0
0.280033320188522	0	0	0
0.283366680145264	0	0	200
0.286700010299683	0	0	0
0.290033340454102	400	0	0
0.293366670608521	0	0	0
0.296700000762939	0	0	0
0.300033330917358	0	0	0
0.303366661071777	0	0	200
0.306699991226196	0	0	400
0.310033321380615	0	1000	400
0.313366681337357	0	0	0
0.316700011491776	0	0	400
0.320033341646194	0	0	200
0.323383331298828	0	0	400
0.326716661453247	400	800	0
0.330049991607666	0	600	400
0.333383321762085	0	3000	400
0.336716651916504	0	200	200
0.340050011873245	0	800	600
0.343383342027664	200	3000	600
0.346716672182083	0	0	0
0.350050002336502	0	2000	1200
0.353383332490921	0	1600	0
0.35671666264534	0	1200	400
0.360049992799759	0	2400	1200
0.363383322954178	0	1400	1200
0.366716653108597	0	2200	400
0.370050013065338	0	2000	1000
0.373383343219757	0	0	400
0.376716673374176	0	2000	0
0.380050003528595	0	1200	200
0.383383333683014	0	0	0
0.386716663837433	0	0	400
0.390049993991852	0	0	200
0.393383324146271	0	1200	400
0.39671665430069	0	0	0
0.400050014257431	0	0	200
0.40338334441185	0	0	0
0.406716674566269	600	0	400
0.410050004720688	0	0	800
0.413383334875107	200	0	0
0.416716665029526	0	0	200
0.420049995183945	0	0	200
0.423383325338364	400	0	400
0.426716655492783	0	400	200
0.430049985647202	0	1800	0
0.433383345603943	1600	0	200
0.436716675758362	0	0	200
0.440050005912781	0	200	0
0.4433833360672	0	0	0
0.446716666221619	200	0	400
0.450049996376038	0	200	200
0.453383326530457	800	0	0
0.456716656684875	800	0	0
0.460049986839294	0	0	200
0.463383346796036	0	0	0
0.466716676950455	0	0	200
0.470050007104874	0	0	0
0.473383337259293	0	1200	400
0.476716667413712	0	400	0
0.48004999756813	0	0	0
0.483383327722549	0	0	200
0.486716657876968	0	200	400
0.490049988031387	200	0	800
